time,price_t,price_tplus,pred_tplus,spread,position,pnl,pnl_cum
2018-12-10 02:00:00,55.86,55.12,55.0559,-0.06409942626952869,1,-0.740000000000002,243.85999999999999
2018-12-10 03:00:00,55.12,53.81,55.01698,1.2069792175292946,-1,1.3099999999999952,245.17
2018-12-10 04:00:00,53.81,54.25,54.185284,-0.06471633911132812,1,0.4399999999999977,245.60999999999999
2018-12-10 05:00:00,54.25,58.69,57.25092,-1.439080657958982,1,4.439999999999998,250.04999999999998
2018-12-10 06:00:00,58.69,67.06,66.061295,-0.9987054443359398,1,8.370000000000005,258.41999999999996
2018-12-10 07:00:00,67.06,71.03,71.25756,0.2275607299804676,-1,-3.969999999999999,254.44999999999996
2018-12-10 08:00:00,71.03,70.72,73.30344,2.583436279296876,-1,0.3100000000000023,254.75999999999996
2018-12-10 09:00:00,70.72,71.1,72.22082,1.1208175659179744,-1,-0.37999999999999545,254.37999999999997
2018-12-10 10:00:00,71.1,70.65,72.05606,1.4060607910156193,-1,0.44999999999998863,254.82999999999996
2018-12-10 11:00:00,70.65,70.86,70.0366,-0.8234017944335932,1,0.20999999999999375,255.03999999999996
2018-12-10 12:00:00,70.86,69.99,69.65191,-0.33809112548827613,1,-0.8700000000000045,254.16999999999996
2018-12-10 13:00:00,69.99,69.28,68.15377,-1.1262295532226574,1,-0.7099999999999937,253.45999999999998
2018-12-10 14:00:00,69.28,69.27,67.664474,-1.6055255126953085,1,-0.010000000000005116,253.45
2018-12-10 15:00:00,69.27,69.76,67.94038,-1.8196237182617239,1,0.4900000000000091,253.94
2018-12-10 16:00:00,69.76,73.48,72.75212,-0.7278790283203165,1,3.719999999999999,257.65999999999997
2018-12-10 17:00:00,73.48,77.65,76.12248,-1.5275177001953182,1,4.170000000000002,261.83
2018-12-10 18:00:00,77.65,76.23,77.70432,1.4743228149414023,-1,1.4200000000000017,263.25
2018-12-10 19:00:00,76.23,75.54,76.12525,0.585251770019525,-1,0.6899999999999977,263.94
2018-12-10 20:00:00,75.54,74.16,75.13133,0.9713323974609409,-1,1.3800000000000097,265.32
2018-12-10 21:00:00,74.16,71.91,73.01994,1.109943237304691,-1,2.25,267.57
2018-12-10 22:00:00,71.91,69.53,68.90289,-0.6271069335937511,1,-2.3799999999999955,265.19
2018-12-10 23:00:00,69.53,68.77,65.709175,-3.0608248901367148,1,-0.7600000000000051,264.43
2018-12-11 00:00:00,68.77,64.42,64.35974,-0.060258789062501705,1,-4.349999999999994,260.08000000000004
2018-12-11 01:00:00,64.42,62.07,60.694893,-1.375107116699219,1,-2.3500000000000014,257.73
2018-12-11 02:00:00,62.07,59.53,59.734463,0.20446273803710824,-1,2.539999999999999,260.27000000000004
2018-12-11 03:00:00,59.53,59.68,58.275295,-1.4047047424316403,1,0.14999999999999858,260.42
2018-12-11 04:00:00,59.68,59.74,61.03099,1.2909906005859355,-1,-0.060000000000002274,260.36
2018-12-11 05:00:00,59.74,63.86,63.895527,0.03552688598632869,-1,-4.119999999999997,256.24
2018-12-11 06:00:00,63.86,70.55,71.47247,0.9224731445312528,-1,-6.689999999999998,249.55
2018-12-11 07:00:00,70.55,75.29,74.65821,-0.631789245605475,1,4.740000000000009,254.29000000000002
2018-12-11 08:00:00,75.29,75.5,76.72495,1.2249526977539062,-1,-0.20999999999999375,254.08000000000004
2018-12-11 09:00:00,75.5,75.12,75.22899,0.10898864746093295,-1,0.37999999999999545,254.46000000000004
2018-12-11 10:00:00,75.12,73.3,74.95777,1.657771301269534,-1,1.8200000000000074,256.28000000000003
2018-12-11 11:00:00,73.3,71.07,73.21756,2.147559814453132,-1,2.230000000000004,258.51000000000005
2018-12-11 12:00:00,71.07,70.17,70.82241,0.652410583496092,-1,0.8999999999999915,259.41
2018-12-11 13:00:00,70.17,70.99,70.98417,-0.005830993652338634,1,0.8199999999999932,260.23
2018-12-11 14:00:00,70.99,72.74,73.56726,0.8272607421875051,-1,-1.75,258.48
2018-12-11 15:00:00,72.74,72.99,74.7125,1.7225015258789114,-1,-0.25,258.23
2018-12-11 16:00:00,72.99,74.78,76.38525,1.6052462768554676,-1,-1.7900000000000063,256.44
2018-12-11 17:00:00,74.78,78.11,80.44421,2.3342062377929693,-1,-3.3299999999999983,253.11
2018-12-11 18:00:00,78.11,78.38,82.02617,3.646168823242192,-1,-0.269999999999996,252.84000000000003
2018-12-11 19:00:00,78.38,75.88,77.134476,1.254475708007817,-1,2.5,255.34000000000003
2018-12-11 20:00:00,75.88,73.48,74.63475,1.1547503662109335,-1,2.3999999999999915,257.74
2018-12-11 21:00:00,73.48,69.62,72.13995,2.5199536132812455,-1,3.8599999999999994,261.6
2018-12-11 22:00:00,69.62,68.36,67.17994,-1.1800607299804682,1,-1.2600000000000051,260.34000000000003
2018-12-11 23:00:00,68.36,66.1,68.37739,2.277388000488287,-1,2.260000000000005,262.6
2018-12-12 00:00:00,66.1,59.84,65.008255,5.168255004882809,-1,6.259999999999991,268.86
2018-12-12 01:00:00,59.84,57.45,60.936977,3.4869773864746065,-1,2.3900000000000006,271.25
2018-12-12 02:00:00,57.45,54.62,57.838215,3.2182148742675807,-1,2.8300000000000054,274.08
2018-12-12 03:00:00,54.62,55.02,55.571453,0.5514530944824187,-1,-0.4000000000000057,273.67999999999995
2018-12-12 04:00:00,55.02,56.93,59.586617,2.6566165161132815,-1,-1.9099999999999966,271.77
2018-12-12 05:00:00,56.93,69.83,64.25378,-5.5762234497070295,1,12.899999999999999,284.66999999999996
2018-12-12 06:00:00,69.83,71.56,74.09846,2.538457336425779,-1,-1.730000000000004,282.93999999999994
2018-12-12 07:00:00,71.56,76.08,74.61062,-1.4693814086914045,1,4.519999999999996,287.4599999999999
2018-12-12 08:00:00,76.08,76.39,77.05568,0.6656793212890619,-1,-0.3100000000000023,287.1499999999999
2018-12-12 09:00:00,76.39,77.29,76.47898,-0.8110189819336,1,0.9000000000000057,288.04999999999995
2018-12-12 10:00:00,77.29,77.26,76.67591,-0.5840890502929739,1,-0.030000000000001137,288.02
2018-12-12 11:00:00,77.26,75.9,76.12902,0.22902069091796307,-1,1.3599999999999994,289.38
2018-12-12 12:00:00,75.9,74.82,74.99435,0.17434661865235057,-1,1.0800000000000125,290.46000000000004
2018-12-12 13:00:00,74.82,73.95,74.46354,0.5135391235351534,-1,0.8699999999999903,291.33000000000004
2018-12-12 14:00:00,73.95,73.85,74.17672,0.32671966552734943,-1,0.10000000000000853,291.43000000000006
2018-12-12 15:00:00,73.85,73.7,74.49235,0.7923477172851534,-1,0.14999999999999147,291.58000000000004
2018-12-12 16:00:00,73.7,74.65,75.085976,0.43597564697265057,-1,-0.9500000000000028,290.63000000000005
2018-12-12 17:00:00,74.65,77.02,77.208916,0.18891571044922273,-1,-2.3699999999999903,288.26000000000005
2018-12-12 18:00:00,77.02,75.75,77.21145,1.4614486694335938,-1,1.269999999999996,289.53000000000003
2018-12-12 19:00:00,75.75,75.51,74.797195,-0.7128045654296926,1,-0.23999999999999488,289.29
2018-12-12 20:00:00,75.51,72.29,73.62311,1.3331079101562437,-1,3.219999999999999,292.51
